2025-11-20 10:27:54 | INFO     | JARVIS | ============================================================
2025-11-20 10:27:54 | INFO     | JARVIS | 🚀 JARVIS Started - 2025-11-20 10:27:54
2025-11-20 10:27:54 | INFO     | JARVIS | 📁 Log Directory: C:\Users\Nandlal\Documents\.NANDLAL\python\JARVIS\Data\logs
2025-11-20 10:27:54 | INFO     | JARVIS | ============================================================
2025-11-20 10:28:13 | INFO     | ai.providers | ✅ Using Cohere COHERE Key 1 key
2025-11-20 10:28:13 | INFO     | root | 🎤 Initializing Native TTS...
2025-11-20 10:28:13 | INFO     | audio.tts_native | ✅ Native TTS initialized with Microsoft David Desktop - English (United States)
2025-11-20 10:28:13 | INFO     | audio.tts | ✅ Global TTS engine set
2025-11-20 10:28:13 | INFO     | root | ✅ Native TTS initialized
2025-11-20 10:28:15 | INFO     | JARVIS | ✅ TTS ready
2025-11-20 10:28:15 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-11-20 10:28:15 | INFO     | ai.providers | ✅ Using GROQ Key 1 key
2025-11-20 10:28:15 | INFO     | ai.providers | ✅ Using HUGGINGFACE Key 1 key
2025-11-20 10:28:15 | INFO     | ai.providers | ✅ Using OPENROUTER Key 1 key
2025-11-20 10:28:15 | INFO     | ai.providers | ✅ Using MISTRAL Key 1 key
2025-11-20 10:28:33 | INFO     | audio.stt | ✅ STT ChromeDriver created (attempt 1)
2025-11-20 10:28:33 | INFO     | audio.stt | ✅ FORTIFIED STT initialized
2025-11-20 10:28:33 | INFO     | JARVIS | ✅ STT ready
2025-11-20 10:28:33 | INFO     | audio.volume | Volume controller initialized (current: 7%)
2025-11-20 10:28:33 | INFO     | core.local_server | 🚀 Local context server started at http://localhost:8989
2025-11-20 10:28:35 | INFO     | audio.stt_fallback | ✅ Fallback STT initialized
2025-11-20 10:28:35 | INFO     | monitors.clipboard | ✅ Event-driven clipboard monitor started
2025-11-20 10:28:35 | INFO     | ui.gui | 📺 Auto-selected secondary monitor
2025-11-20 10:28:35 | INFO     | ai.task_queue | ✅ Started 3 AI worker threads
2025-11-20 10:28:36 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:28:37 | INFO     | JARVIS | 🚀 JARVIS is now running
2025-11-20 10:28:39 | INFO     | audio.stt | ✅ STT page fully initialized
2025-11-20 10:28:39 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:28:39 | INFO     | audio.stt | ✅ STT page fully initialized
2025-11-20 10:28:41 | INFO     | ui.gui | [TERMINAL] 🌐 Internet Connected
2025-11-20 10:28:43 | INFO     | audio.stt | 🎤 Real-time Mic Watchdog thread has started and is now waiting for events.
2025-11-20 10:28:51 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:29:05 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:29:05 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:30:42 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:30:42 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:31:18 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:31:18 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:31:33 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:32:06 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:32:15 | INFO     | ui.gui | [TERMINAL] ⚙️ Installer Downloaded: driver_booster_setup.exe (31.7 MB)
2025-11-20 10:32:38 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:32:47 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:33:09 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:33:25 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:33:25 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:33:30 | INFO     | config.aliases | Loaded 1 custom aliases
2025-11-20 10:33:31 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-11-20 10:33:31 | INFO     | ui.gui | [TERMINAL] Task initiated.
2025-11-20 10:33:42 | INFO     | ui.gui | [TERMINAL] Accepted and sealed.
2025-11-20 10:33:52 | INFO     | ui.gui | [TERMINAL] 📝 Opening cache editor...
2025-11-20 10:35:23 | WARNING  | ui.gui | [TERMINAL] ⚡ High CPU Usage: 90.9% - System may be slow
2025-11-20 10:36:33 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:36:42 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:36:59 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:36:59 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:37:03 | WARNING  | ui.gui | [TERMINAL] 💾 High Memory Usage: 98.0% - Consider closing apps
2025-11-20 10:41:56 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:46:33 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:47:19 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:47:19 | WARNING  | ui.gui | [TERMINAL] 💾 High Memory Usage: 98.0% - Consider closing apps
2025-11-20 10:47:19 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:47:53 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:49:47 | WARNING  | audio.stt | 🎤 Mic watchdog [EVENT]: Mic use by Chrome's specific process path not found. Forcing re-activation.
2025-11-20 10:49:47 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:50:33 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:52:33 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:53:28 | INFO     | ui.gui | [TERMINAL] 🔄 Restarting from system tray...
2025-11-20 10:53:28 | INFO     | ui.gui | [TERMINAL] 🔄 Restarting program...
2025-11-20 10:54:01 | INFO     | JARVIS | ============================================================
2025-11-20 10:54:01 | INFO     | JARVIS | 🚀 JARVIS Started - 2025-11-20 10:54:01
2025-11-20 10:54:01 | INFO     | JARVIS | 📁 Log Directory: C:\Users\Nandlal\Documents\.NANDLAL\python\JARVIS\Data\logs
2025-11-20 10:54:01 | INFO     | JARVIS | ============================================================
2025-11-20 10:54:22 | INFO     | ai.providers | ✅ Using Cohere COHERE Key 1 key
2025-11-20 10:54:22 | INFO     | ai.connection_pool | ✅ AI Connection Pool initialized with HTTP/2
2025-11-20 10:54:22 | INFO     | ai.connection_pool | 🔥 Pre-warming AI connections...
2025-11-20 10:54:22 | INFO     | ai.connection_pool | ✅ AI connections pre-warmed
2025-11-20 10:54:22 | INFO     | root | 🎤 Initializing Native TTS...
2025-11-20 10:54:23 | INFO     | audio.tts_native | ✅ Native TTS initialized with Microsoft David Desktop - English (United States)
2025-11-20 10:54:23 | INFO     | audio.tts | ✅ Global TTS engine set
2025-11-20 10:54:23 | INFO     | root | ✅ Native TTS initialized
2025-11-20 10:54:25 | INFO     | JARVIS | ✅ TTS ready
2025-11-20 10:54:28 | INFO     | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2025-11-20 10:54:28 | INFO     | ai.providers | ✅ Using GROQ Key 1 key
2025-11-20 10:54:28 | INFO     | ai.providers | ✅ Using HUGGINGFACE Key 1 key
2025-11-20 10:54:28 | INFO     | ai.providers | ✅ Using OPENROUTER Key 1 key
2025-11-20 10:54:28 | INFO     | ai.providers | ✅ Using MISTRAL Key 1 key
2025-11-20 10:54:29 | INFO     | audio.stt | ✅ STT ChromeDriver created (attempt 1)
2025-11-20 10:54:29 | INFO     | audio.stt | ✅ FORTIFIED STT initialized
2025-11-20 10:54:29 | INFO     | JARVIS | ✅ STT ready
2025-11-20 10:54:29 | INFO     | audio.volume | Volume controller initialized (current: 25%)
2025-11-20 10:54:29 | INFO     | core.context_manager | ✅ Optimized Context Manager initialized
2025-11-20 10:54:29 | INFO     | core.local_server | 🚀 Local context server started at http://localhost:8989
2025-11-20 10:54:31 | INFO     | audio.stt_fallback | ✅ Fallback STT initialized
2025-11-20 10:54:31 | INFO     | monitors.clipboard | ✅ Event-driven clipboard monitor started
2025-11-20 10:54:31 | INFO     | integrations.mobile_companion | ✅ Mobile Companion started on port 5555
2025-11-20 10:54:31 | INFO     | integrations.mobile_companion | 📱 Connect from: http://<your-ip>:5555
2025-11-20 10:54:31 | INFO     | ui.gui | 📺 Auto-selected secondary monitor
2025-11-20 10:54:31 | INFO     | ai.task_queue | ✅ Started 3 AI worker threads
2025-11-20 10:54:34 | INFO     | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5555
 * Running on http://192.168.1.9:5555
2025-11-20 10:54:34 | INFO     | werkzeug | [33mPress CTRL+C to quit[0m
2025-11-20 10:54:34 | INFO     | JARVIS | 🚀 JARVIS is now running
2025-11-20 10:54:34 | WARNING  | urllib3.connectionpool | Connection pool is full, discarding connection: localhost. Connection pool size: 1
2025-11-20 10:54:37 | INFO     | ui.gui | [TERMINAL] 🌐 Internet Connected
2025-11-20 10:54:37 | INFO     | audio.stt | ✅ STT page fully initialized
2025-11-20 10:54:37 | INFO     | audio.stt | ✅ STT page fully initialized
